wave,int
3440.6624023437,157835.19
3719.8624023437,455190.75
3734.8624023437,160811.61
3737.0624023437,314633.88
3745.6624023437,197188.16
3859.8624023437,439846.28
3886.2624023437,218381.89
4045.8624023437,186902.3
4277.4624023437,321608.7
4325.6624023437,140102.55
4348.0624023437,231900.73
4383.4624023437,303114.1
4426.0624023437,162468
4545.0624023437,323411.16
4589.8624023437,189731.27
4609.6624023437,219811.72
4657.8624023437,145933.72
4764.8624023437,318548.53
4879.8624023437,209746.17
5269.4624023437,155111.77
6032.0624023437,174041.88
6416.2624023437,203161.92
6677.2624023437,344765.22
6752.8624023437,282207.8
6965.4624023437,1961634.9
7067.2624023437,1669661.4
7147.0624023437,247682.02
7272.8624023437,564778.06
7384.0624023437,1053288.4
7503.8624023437,1878973.5
7514.6624023437,1230034.5
7635.0624023437,1710746.6
7724.0624023437,997816.9
7948.2624023437,804791
8006.2624023437,736704.75
8014.8624023437,989138
8103.6624023437,1095641.8
8115.2624023437,1596651
8264.4624023437,715661.9
8408.2624023437,1029666.8
8424.6624023437,1090773.2
8521.4624023437,567220.2
8668.0624023437,253483.23
9123.0624023437,2049026.1
9224.4624023437,1265370.4
9657.8624023437,1608535.8
9784.4624023437,412169.53
