Wavelength,Int_norm
2000,10
3125.67,14
3131.55,20
3341.48,113
3650.15,14556
3654.84,3503
3663.28,2750
3901.87,119
3906.37,132
4046.56,43534
4077.83,3895
4348.063,4000
4358.33,86268
4916.07,2000
5460.74,70000
5769.6,50000
5790.66,23296
5882.6226,1000
6032.1244,500
6234.3929,400
6384.7144,500
6416.3038,300
6598.684,500
6677.2784,500
6716.4228,500
6752.83,200
6871.286,200
6907.5212,2000
6965.4265,10000
7067.217,10000
7081.894,2500
7091.8613,2000
7147.041,2500
7272.935,2000
7383.9796,1500
7503.8685,1500
7514.6514,1500
7635.1056,1000
7723.7599,1000
7948.1755,1000
8006.157,5000
8014.786,5000
8103.693,5000
8115.311,5000
8264.523,5000
8408.2096,500
8424.6475,50
8521.4422,50
9122.9674,20
