Wavelength,Intensity
3000.4451,17
3002.6407,16
3004.863,100
3006.507,2000
3010.02,10
3011.162,300
3014.4819,7
3016.15,5
3021.504,1200
3023.471,300
3023.9801,5
3025.606,30
3026.7455,35
3027.16,5
3027.49,60
3033.5082,78
3034.916,2000
3037.91,9
3046.0787,6
3048.503,25
3053.151,5
3055.765,60
3060.9059,7
3064.529,800
3064.77,10
3066.889,6
3067.684,480
3069.177,40
3070.478,35
3078.15,10
3082.9777,10
3085.0273,19
3088.2151,8
3090.05,15
3093.4018,68
3094.9654,8
3102.5862,5
3102.668,150
3104.3601,17
3110.41,7
3116.195,15000
3125.674,4000
3127.9,7
3131.555,3000
3131.844,4000
3134.79,9
3136.4839,7
3139.0174,79
3139.2636,8
3139.679,30
3153.7844,13
3157.42,5
3161.3729,45
3161.457,15
3165.291,11
3169.6682,78
3181.0374,45
3187.9,6
3191.019,7500
3191.591,35
3194.2303,14
3195.752,5
3200.37,8
3201.385,2500
3204.3206,35
3205.006,6
3207.581,5
3207.709,500
3208.169,120000
3212.5178,7
3216.7297,6
3217.673,5
3221.625,7
3222.3977,8
3225.973,6
3236.8097,10
3243.6881,95
3249.7996,95
3251.7907,7
3252.076,450
3252.916,100
3259.6556,5
3263.5702,21
3263.879,9
3264.039,60000
3268.987,5
3270.474,5
3273.3165,9
3275.6434,6
3277.846,10000
3281.7012,43
3283.02,5
3284.712,10
3285.8413,33
3291.4405,10
3293.6402,162
3293.9244,21
3301.8546,224
3306.445,5
3307.2283,126
3311.2423,18
3312.28,12
3317.279,700
3319.34,7
3323.59,9
3335.226,300
3336.1746,708
3338.709,30
3338.8225,7
3338.964,50
3341.484,700
3341.746,6
3342.5373,5
3344.7567,575
3348.487,80
3350.9238,129
3358.5305,417
3361.28,7
3361.7447,10
3362.671,10
3365.5204,13
3366.58,22
3370.9147,12
3373.333,500
3373.47,7
3376.4357,155
3379.5779,11
3388.5306,195
3389.01,8
3391.8445,129
3393.73,7
3397.8954,8
3401.389,200
3413.53,6
3414.4579,9
3417.49,7
3421.6108,22
3424.25,9
3424.789,400
3427.31,100
3429.6138,20
3430.4148,26
3430.991,5
3432.5838,5
3436.925,6
3438.04,8
3450.77,5
3451.689,30000
3454.0949,76
3461.07,7
3465.783,14
3466.333,91
3470.2606,12
3471.32,9
3472.61,6
3476.7471,427
3478.2316,100
3480.502,1000
3480.511,9
3487.3155,6
3488.399,150
3490.8729,45
3491.2437,389
3491.5356,1000
3499.4759,8
3499.6693,269
3500.58,5
3502.6828,93
3503.5894,468
3509.3333,245
3509.7779,447
3511.1485,1175
3511.6671,89
3514.2004,724
3514.3874,490
3519.9933,191
3521.26,100
3521.9773,71
3532.594,100000
3535.3194,170
3543.1467,26
3543.46,60
3545.5952,891
3545.8431,794
3548.5141,195
3549.411,30000
3550.0297,10
3554.306,7
3556.9038,49
3557.24,5
3559.5079,1445
3562.1914,35
3562.385,100
3564.3333,19
3565.0296,162
3576.6153,12303
3578.3556,8
3581.6077,68
3582.3544,155
3588.4403,12303
3600.2217,10
3601.5089,15
3603.908,1500
3605.762,100000
3605.8788,24
3606.522,7
3606.885,8000
3611.813,14
3614.875,450
3622.1376,30
3632.363,8000
3634.8119,9
3637.0303,19
3637.8731,78
3639.8324,42
3650.158,9000
3650.8891,8
3654.842,3000
3655.2775,37
3656.0495,27
3660.4362,28
3662.887,500
3663.284,2000
3669.602,26
3670.275,7
3671.0045,19
3673.264,22
3678.269,17
3680.0607,20
3682.5439,9
3683.431,6
3685.601,5
3686.601,6
3688.23,7
3695.988,9
3701.442,50
3704.1655,9
3706.9302,7
3709.9085,11
3712.764,10
3714.7332,14
3716.553,8
3717.1721,6
3718.2061,93
3720.4258,12
3723.251,5
3724.5156,14
3729.3082,234
3737.8889,126
3746.4469,275
3746.913,7
3750.4801,13
3753.5172,26
3754.0493,11
3756.382,9
3763.5041,17
3765.2697,186
3766.1182,91
3770.369,20
3770.5194,33
3777.531,5
3777.755,900
3780.8394,81
3786.3819,20
3789.727,5
3790,80
3795.3435,148
3796.5931,13
3799.3811,12
3800.25,6
3801.6583,50
3803.172,69
3803.51,15
3806.312,50000
3808.5745,14
3809.4558,91
3819.015,8
3820.4,50
3825.6723,19
3826.8067,30
3828.909,1000
3830.3951,6
3830.5209,7
3834.679,7
3839.259,10000
3841.5186,18
3844.5622,6
3844.7306,5
3845.4049,32
3850.5808,263
3855.1603,6
3856.1374,6
3858.2923,8
3860.85,30
3868.5281,166
3872.1361,11
3875.2641,78
3880.3323,15
3883.183,200
3891.4011,14
3891.9787,50
3895.2506,5
3900.6251,8
3901.868,30
3906.371,40
3907.84,7
3909.32,400
3911.5759,6
3913.367,75
3914.313,5000
3914.7674,25
3917.7669,5
3925.7186,129
3926.0451,13
3928.6227,191
3931.2353,17
3932.5463,91
3944.2712,49
3945.673,30
3946.0969,204
3946.281,75
3947.505,7
3948.979,35
3952.728,16
3956.319,60
3958.379,7
3960.4872,5
3968.3589,59
3974.402,500
3974.4764,50
3974.7582,15
3979.3554,87
3988.1573,12
3992.0531,21
3994.7916,58
3995.59,8
4005.362,10
4011.2084,12
4013.8561,145
4019.8434,7
4031.3769,6
4033.809,95
4035.4595,50
4038.8039,18
4040.576,500
4042.8934,288
4044.418,50
4045.6769,8
4046.565,12000
4047.4803,10
4047.74,50
4051.122,5
4052.9206,178
4070.7837,10
4072.0043,708
4072.3843,178
4076.6282,85
4076.9432,47
4077.837,1000
4079.5734,100
4080.6359,85
4080.7022,40
4082.3868,76
4088.8914,7
4097.1351,28
4097.2033,12
4099.4554,11
4103.8323,158
4103.9118,447
4108.054,70
4116.3756,8
4120.44,4000
4122.07,70
4128.6399,18
4129.682,12
4131.7232,891
4140.34,10
4144.245,5
4156.0854,60
4158.59,400
4164.18,50
4168.9696,6
4178.365,13
4179.2972,50
4181.884,50
4182.9667,18
4189.6507,16
4190.713,100
4191.029,50
4198.317,200
4199.8887,9
4200.674,400
4201.5556,10
4201.9713,59
4203.4105,18
4216.74,100
4217.4306,27
4218.6648,59
4222.6369,76
4226.6091,16
4226.9874,89
4228.1577,331
4229.8688,26
4237.2195,269
4251.185,25
4255.6027,8
4259.362,200
4266.286,100
4266.5265,288
4272.169,150
4275.1592,35
4276.224,100
4277.5279,1995
4282.8971,68
4286.3567,6
4297.9632,15
4300.101,100
4300.6493,85
4309.0931,93
4309.2385,120
4329.4385,8
4331.1992,603
4332.0295,162
4333.561,100
4335.338,50
4337.0705,54
4338.2312,6
4339.2232,50
4345.168,25
4345.8968,9
4347.4945,150
4348.0635,1995
4352.2047,200
4358.335,12000
4362.066,78
4367.8314,129
4370.7529,617
4371.3285,355
4372.4888,10
4374.8574,30
4375.954,209
4379.2128,11
4379.6665,550
4379.8805,794
4382.93,5
4383.7545,14
4385.0565,117
4386.9656,5
4397.798,5
4398.617,40000
4400.0964,257
4400.986,8710
4404.9019,18
4406.4696,10
4420.9118,47
4426.0008,1514
4430.1885,661
4430.9959,251
4433.8377,120
4438.1173,7
4439.4611,95
4439.8786,22
4440.1213,13
4445.846,5
4448.4587,14
4448.8791,166
4449.201,7
4449.521,7
4460.5558,35
4470.58,15
4474.7591,347
4481.8104,646
4490.9813,48
4491.552,2000
4492.831,2800
4498.5374,25
4502.9265,42
4510.733,100
4522.323,20
4530.5522,63
4535.4905,21
4537.6409,13
4543.8702,10
4545.0516,1738
4547.7582,20
4552.84,12
4561.0124,7
4564.4055,42
4565.21,8
4579.3493,871
4589.8976,25704
4596.097,15
4598.7625,182
4609.5669,2291
4611.2432,9
4628.441,7
4637.2324,148
4657.9009,1445
4660.219,30000
4681.4971,5
4682.2759,21
4687.618,5
4702.316,15
4703.3576,15
4710.823,14
4721.5913,32
4726.8681,23442
4730.672,7
4731.386,7
4732.053,200
4735.9055,1000
4742.297,300
4757.2197,5
4764.8644,2344
4786.15,6
4792.0818,17
4797.01,50
4806.0202,1820
4825.566,17000
4847.8095,832
4847.846,11
4847.9991,9
4865.9109,83
4867.5554,17
4869.85,10
4879.8634,2239
4882.2424,21
4882.999,6
4888.2605,8
4889.0419,288
4891.984,6
4904.7514,107
