wave,flux,error,f
3200,10040,342.93,7
3201,10015,342.29,7
3202,10009,342.29,7
3203,10021,342.93,7
3204,10024,343.24,7
3205,9990,342.29,7
3206,9983.7,342.29,7
3207,9995.9,342.93,7
3208,9998.9,343.24,7
3209,10057,345.46,7
3210,10116,347.7,7
3211,10175,349.95,7
3212,10216,351.56,7
3213,10247,352.86,7
3214,10241,352.86,7
3215,10234,352.86,7
3216,10237,353.18,7
3217,10250,353.83,7
3218,10262,354.49,7
3219,10284,355.47,7
3220,10316,356.78,7
3221,10329,357.44,7
3222,10351,358.43,7
3223,10363,359.09,7
3224,10386,360.08,7
3225,10398,360.74,7
3226,10430,362.08,7
3227,10453,363.08,7
3228,10465,363.75,7
3229,10488,364.75,7
3230,10481,364.75,7
3231,10456,364.08,7
3232,10420,363.08,7
3233,10395,362.41,7
3234,10360,361.41,7
3235,10315,360.08,7
3236,10261,358.43,7
3237,10189,356.12,7
3238,10136,354.49,7
3239,10065,352.21,7
3240,9993.8,349.95,7
3241,9905.2,347.06,7
3242,9826.4,344.51,7
3243,9784.2,343.24,7
3244,9751.2,342.29,7
3245,9709.4,341.04,7
3246,9658.8,339.47,7
3247,9626.2,338.53,7
3248,9602.6,337.91,7
3249,9561.4,336.67,7
3250,9511.6,335.12,7
3251,9462.1,333.58,7
3252,9438.9,332.97,7
3253,9407,332.05,7
3254,9401.2,332.05,7
3255,9378.2,331.44,7
3256,9346.6,330.52,7
3257,9306.5,329.31,7
3258,9275.1,328.4,7
3259,9235.3,327.19,7
3260,9229.6,327.19,7
3261,9207,326.59,7
3262,9192.9,326.29,7
3263,9187.3,326.29,7
3264,9181.6,326.29,7
3265,9159.1,325.69,7
3266,9153.5,325.69,7
3267,9147.9,325.69,7
3268,9159.2,326.29,7
3269,9153.6,326.29,7
3270,9131.1,325.69,7
3271,9125.5,325.69,7
3272,9119.9,325.69,7
3273,9114.4,325.69,7
3274,9108.8,325.69,7
3275,9086.5,325.09,7
3276,9081,325.09,7
3277,9050.4,324.19,7
3278,9011.6,323,7
3279,8981.3,322.11,7
3280,8959.2,321.51,7
3281,8953.8,321.51,7
3282,8964.9,322.11,7
3283,8975.9,322.7,7
3284,8995.3,323.59,7
3285,8989.8,323.59,7
3286,8967.8,323,7
3287,8954.1,322.7,7
3288,8915.7,321.51,7
3289,8885.7,320.63,7
3290,8831.4,318.86,7
3291,8785.4,317.39,7
3292,8755.9,316.52,7
3293,8718.4,315.36,7
3294,8697.1,314.77,7
3295,8683.8,314.48,7
3296,8678.5,314.48,7
3297,8673.2,314.48,7
3298,8668,314.48,7
3299,8670.7,314.77,7
3300,8681.5,315.36,7
3301,8676.2,315.36,7
3302,8671,315.36,7
3303,8649.7,314.77,7
3304,8636.5,314.48,7
3305,8615.4,313.91,7
3306,8586.5,313.04,7
3307,8549.7,311.89,7
3308,8528.8,311.32,7
3309,8515.8,311.03,7
3310,8495,310.46,7
3311,8489.9,310.46,7
3312,8484.8,310.46,7
3313,8479.6,310.46,7
3314,8474.5,310.46,7
3315,8485,311.03,7
3316,8487.7,311.32,7
3317,8498.3,311.89,7
3318,8524.5,313.04,7
3319,8519.3,313.04,7
3320,8498.5,312.46,7
3321,8477.8,311.89,7
3322,8449.3,311.03,7
3323,8413.2,309.88,7
3324,8384.9,309.03,7
3325,8379.9,309.03,7
3326,8374.8,309.03,7
3327,8369.8,309.03,7
3328,8403.4,310.46,7
3329,8421.6,311.32,7
3330,8432,311.89,7
3331,8458.1,313.04,7
3332,8453,313.04,7
3333,8432.4,312.46,7
3334,8427.3,312.46,7
3335,8422.2,312.46,7
3336,8417.2,312.46,7
3337,8412.1,312.46,7
