wave,flux,error,f
3200,5481.8,187.24,7
3201,5463.2,186.72,7
3202,5439.7,186.04,7
3203,5421.3,185.52,7
3204,5408,185.18,7
3205,5394.7,184.84,7
3206,5401.2,185.18,7
3207,5407.8,185.52,7
3208,5414.4,185.87,7
3209,5416,186.04,7
3210,5422.6,186.38,7
3211,5429.3,186.72,7
3212,5425.9,186.72,7
3213,5422.5,186.72,7
3214,5419.1,186.72,7
3215,5415.8,186.72,7
3216,5412.4,186.72,7
3217,5399.1,186.38,7
3218,5385.8,186.04,7
3219,5382.4,186.04,7
3220,5374.1,185.87,7
3221,5375.8,186.04,7
3222,5382.3,186.38,7
3223,5388.9,186.72,7
3224,5395.5,187.07,7
3225,5397.1,187.24,7
3226,5413.7,187.93,7
3227,5425.3,188.45,7
3228,5431.9,188.8,7
3229,5443.6,189.32,7
3230,5450.2,189.67,7
3231,5456.9,190.02,7
3232,5453.5,190.02,7
3233,5450.1,190.02,7
3234,5446.8,190.02,7
3235,5443.4,190.02,7
3236,5440,190.02,7
3237,5436.7,190.02,7
3238,5408.4,189.15,7
3239,5375.3,188.11,7
3240,5342.3,187.07,7
3241,5304.7,185.87,7
3242,5267.4,184.67,7
3243,5244.8,183.99,7
3244,5227.1,183.48,7
3245,5204.6,182.81,7
3246,5187.1,182.31,7
3247,5174.4,181.97,7
3248,5171.2,181.97,7
3249,5144.2,181.13,7
3250,5122.2,180.47,7
3251,5095.5,179.64,7
3252,5059.6,178.48,7
3253,5042.6,177.99,7
3254,5020.9,177.34,7
3255,5004,176.85,7
3256,4991.7,176.52,7
3257,4979.5,176.2,7
3258,4971.9,176.04,7
3259,4950.5,175.39,7
3260,4933.8,174.9,7
3261,4912.7,174.26,7
3262,4887.1,173.46,7
3263,4866.2,172.82,7
3264,4849.8,172.35,7
3265,4833.4,171.87,7
3266,4812.7,171.24,7
3267,4800.9,170.92,7
3268,4784.7,170.45,7
3269,4773,170.14,7
3270,4770.1,170.14,7
3271,4767.1,170.14,7
3272,4764.2,170.14,7
3273,4761.3,170.14,7
3274,4758.4,170.14,7
3275,4746.8,169.82,7
3276,4743.9,169.82,7
3277,4736.6,169.67,7
3278,4725,169.36,7
3279,4713.4,169.04,7
3280,4697.6,168.58,7
3281,4686.1,168.27,7
3282,4674.6,167.96,7
3283,4671.7,167.96,7
3284,4660.3,167.65,7
3285,4653.2,167.49,7
3286,4650.3,167.49,7
3287,4647.5,167.49,7
3288,4636.1,167.19,7
3289,4633.3,167.19,7
3290,4630.5,167.19,7
3291,4627.7,167.19,7
3292,4616.4,166.88,7
3293,4613.6,166.88,7
3294,4606.5,166.72,7
3295,4595.3,166.42,7
3296,4584,166.11,7
3297,4572.8,165.81,7
3298,4570,165.81,7
3299,4563.1,165.65,7
3300,4564.5,165.81,7
3301,4570.1,166.11,7
3302,4575.8,166.42,7
3303,4573,166.42,7
3304,4578.7,166.72,7
3305,4580.1,166.88,7
3306,4577.3,166.88,7
3307,4574.6,166.88,7
3308,4571.8,166.88,7
3309,4569.1,166.88,7
3310,4562.1,166.72,7
3311,4559.3,166.72,7
3312,4556.6,166.72,7
3313,4558,166.88,7
3314,4555.3,166.88,7
3315,4548.4,166.72,7
3316,4537.2,166.42,7
3317,4534.5,166.42,7
3318,4540.1,166.72,7
3319,4541.6,166.88,7
3320,4555.6,167.49,7
3321,4565.4,167.96,7
3322,4571.1,168.27,7
3323,4576.8,168.58,7
3324,4565.6,168.27,7
3325,4554.5,167.96,7
3326,4551.7,167.96,7
3327,4540.6,167.65,7
3328,4546.2,167.96,7
3329,4543.5,167.96,7
3330,4540.8,167.96,7
3331,4538.1,167.96,7
3332,4535.3,167.96,7
3333,4524.3,167.65,7
3334,4517.4,167.49,7
3335,4506.4,167.19,7
3336,4495.4,166.88,7
3337,4492.7,166.88,7
3338,4485.9,166.72,7
3339,4487.3,166.88,7
3340,4484.6,166.88,7
3341,4481.9,166.88,7
3342,4479.3,166.88,7
3343,4464.3,166.42,7
3344,4453.4,166.11,7
3345,4450.7,166.11,7
